code,name,discipline,event,color
BEL,EVENEPOEL Remco,Cycling Road,Men's Individual Time Trial,Gold
ITA,GANNA Filippo,Cycling Road,Men's Individual Time Trial,Silver
BEL,van AERT Wout,Cycling Road,Men's Individual Time Trial,Bronze
AUS,BROWN Grace,Cycling Road,Women's Individual Time Trial,Gold
GBR,HENDERSON Anna,Cycling Road,Women's Individual Time Trial,Silver
USA,DYGERT Chloe,Cycling Road,Women's Individual Time Trial,Bronze
KOR,OH Sanguk,Fencing,Men's Sabre Individual,Gold
TUN,FERJANI Fares,Fencing,Men's Sabre Individual,Silver
ITA,SAMELE Luigi,Fencing,Men's Sabre Individual,Bronze
HKG,KONG Man Wai Vivian,Fencing,Women's Épée Individual,Gold
FRA,MALLO-BRETON Auriane,Fencing,Women's Épée Individual,Silver
HUN,MUHARI Eszter,Fencing,Women's Épée Individual,Bronze
KAZ,SMETOV Yeldos,Judo,Men -60 kg,Gold
FRA,MKHEIDZE Luka,Judo,Men -60 kg,Silver
JPN,NAGAYAMA Ryuju,Judo,Men -60 kg,Bronze
ESP,GARRIGOS Francisco,Judo,Men -60 kg,Bronze
JPN,TSUNODA Natsumi,Judo,Women -48 kg,Gold
MGL,BAVUUDORJ Baasankhuu,Judo,Women -48 kg,Silver
FRA,BOUKLI Shirine,Judo,Women -48 kg,Bronze
SWE,BABULFATH Tara,Judo,Women -48 kg,Bronze
GER,MAERTENS Lukas,Swimming,Men's 400m Freestyle,Gold
AUS,WINNINGTON Elijah,Swimming,Men's 400m Freestyle,Silver
KOR,KIM Woomin,Swimming,Men's 400m Freestyle,Bronze
AUS,TITMUS Ariarne,Swimming,Women's 400m Freestyle,Gold
CAN,McINTOSH Summer,Swimming,Women's 400m Freestyle,Silver
USA,LEDECKY Katie,Swimming,Women's 400m Freestyle,Bronze
AUS,FOX Jessica,Canoe Slalom,Women's Kayak Single,Gold
POL,ZWOLINSKA Klaudia,Canoe Slalom,Women's Kayak Single,Silver
GBR,WOODS Kimberley,Canoe Slalom,Women's Kayak Single,Bronze
FRA,FERRAND PREVOT Pauline,Cycling Mountain Bike,Women's Cross-country,Gold
USA,BATTEN Haley,Cycling Mountain Bike,Women's Cross-country,Silver
SWE,RISSVEDS Jenny,Cycling Mountain Bike,Women's Cross-country,Bronze
JPN,KANO Koki,Fencing,Men's Épée Individual,Gold
FRA,BOREL Yannick,Fencing,Men's Épée Individual,Silver
EGY,ELSAYED Mohamed,Fencing,Men's Épée Individual,Bronze
USA,KIEFER Lee,Fencing,Women's Foil Individual,Gold
USA,SCRUGGS Lauren,Fencing,Women's Foil Individual,Silver
CAN,HARVEY Eleanor,Fencing,Women's Foil Individual,Bronze
JPN,ABE Hifumi,Judo,Men -66 kg,Gold
BRA,LIMA Willian,Judo,Men -66 kg,Silver
KAZ,KYRGYZBAYEV Gusman,Judo,Men -66 kg,Bronze
MDA,VIERU Denis,Judo,Men -66 kg,Bronze
UZB,KELDIYOROVA Diyora,Judo,Women -52 kg,Gold
KOS,KRASNIQI Distria,Judo,Women -52 kg,Silver
BRA,PIMENTA Larissa,Judo,Women -52 kg,Bronze
