nom;Lien vers la source;Discipline;Date de naissance;Pays;Âge;Fonction;Taille (en cm);Genre;Site de compétition;Latitude;Longitude;Nombre de compétitions;Date de début;Date de fin;Jours de compétitions;Médailles d'or;Médailles d'argent;Médailles de bronze;Record
"""671""";https://olympics.com/fr/paris-2024/athlete/-671_1909907;Breaking;19/10/05;République populaire de Chine;18;Athlète;;Femme;La Concorde 1;48.86640642;2.32119515;6;09/08/24;09/08/24;1;0;0;1;non
AABERG IVERSEN Sarah;https://olympics.com/fr/paris-2024/athlete/sarah-aaberg-iversen_1895210;Handball;10/04/90;Danemark;34;Athlète;177;Femme;multisite;;;8;25/07/24;10/08/24;8;0;0;1;non
AARDAHL Maren;https://olympics.com/fr/paris-2024/athlete/maren-aardahl_1878518;Handball;02/03/94;Norvège;30;Athlète;183;Femme;multisite;;;8;25/07/24;10/08/24;8;1;0;0;non
AARONSON Paxten;https://olympics.com/fr/paris-2024/athlete/paxten-aaronson_1943846;Football;26/08/03;États-Unis d'Amérique;21;Athlète;175;Homme;multisite;;;4;24/07/24;02/08/24;4;0;0;0;non
AARTS Laura;https://olympics.com/fr/paris-2024/athlete/laura-aarts_1968845;Water-polo;10/08/96;Pays-Bas;28;Athlète;175;Femme;multisite;;;7;27/07/24;10/08/24;7;0;0;1;non
AASMUL Victor Gairy;https://olympics.com/fr/paris-2024/athlete/victor-gairy-aasmul_1892441;Canoë-kayak sprint;08/04/99;Danemark;25;Athlète;;Homme;Stade nautique de Vaires-sur-Marne - bassin d'eaux calmes;48.8623;2.6348;3;06/08/24;08/08/24;2;0;0;0;non
AASTEDT Sofia;https://olympics.com/fr/paris-2024/athlete/sofia-aastedt_1572558;Natation;13/11/03;Suède;20;Athlète;;Femme;Paris La Défense Arena;48.8954;2.2294;1;27/07/24;27/07/24;1;0;0;0;non
ABABAKIROV Samirkhon;https://olympics.com/fr/paris-2024/athlete/samirkhon-ababakirov_1930255;Taekwondo;26/09/03;Kazakhstan;21;Athlète;;Homme;Grand Palais;48.86616355;2.3125474;1;07/08/24;07/08/24;1;0;0;0;non
ABAD Nestor;https://olympics.com/fr/paris-2024/athlete/nestor-abad_1935774;Gymnastique artistique;29/03/93;Espagne;31;Athlète;;Homme;;;;0;;;0;0;0;0;non
ABADA Liel;https://olympics.com/fr/paris-2024/athlete/liel-abada_1956102;Football;03/10/01;Israël;22;Athlète;172;Homme;multisite;;;3;24/07/24;30/07/24;3;0;0;0;non
ABADIA Adrian;https://olympics.com/fr/paris-2024/athlete/adrian-abadia_1954791;Plongeon;05/04/02;Espagne;22;Athlète;;Homme;Centre Aquatique;48.923723;2.35578;1;02/08/24;02/08/24;1;0;0;0;non
ABAGNALE Giovanni;https://olympics.com/fr/paris-2024/athlete/giovanni-abagnale_1547899;Aviron;11/01/95;Italie;29;Athlète;;Homme;Stade nautique de Vaires-sur-Marne;48.8623;2.6348;3;28/07/24;01/08/24;3;0;0;0;non
ABAKAR Ismail Doudai;https://olympics.com/fr/paris-2024/athlete/ismail-doudai-abakar_1566682;Athlétisme;01/01/04;Qatar;20;Athlète;184;Homme;Stade de France;48.924475;2.360127;1;05/08/24;05/08/24;1;0;0;0;non
ABAKAROV Zelimkhan;https://olympics.com/fr/paris-2024/athlete/zelimkhan-abakarov_1548857;Lutte;14/07/93;Albanie;31;Athlète;;Homme;Arena Champ de Mars;48.8531;2.30252;2;08/08/24;08/08/24;1;0;0;0;non
ABAROA Cesar;https://olympics.com/fr/paris-2024/athlete/cesar-abaroa_1935335;Aviron;18/11/96;Chili;27;Athlète;;Homme;Stade nautique de Vaires-sur-Marne;48.8623;2.6348;3;28/07/24;31/07/24;3;0;0;0;non
ABAROGE Farida;https://olympics.com/fr/paris-2024/athlete/farida-abaroge_1894545;Athlétisme;01/01/94;Équipe olympique des réfugiés;30;Athlète;;Femme;Stade de France;48.924475;2.360127;2;06/08/24;07/08/24;2;0;0;0;non
ABAY Burak;https://olympics.com/fr/paris-2024/athlete/burak-abay_1565976;Cyclisme sur route;01/01/96;Türkiye;28;Athlète;;Homme;Trocadéro;48.85972558;2.29221884;1;03/08/24;03/08/24;1;0;0;0;non
ABBADINI Yumin;https://olympics.com/fr/paris-2024/athlete/yumin-abbadini_1551050;Gymnastique artistique;06/05/01;Italie;23;Athlète;;Homme;Arena Bercy;48.83863;2.378597;3;29/07/24;05/08/24;3;0;0;0;non
ABBAGNALE Vincenzo;https://olympics.com/fr/paris-2024/athlete/vincenzo-abbagnale_1547876;Aviron;13/03/93;Italie;31;Athlète;;Homme;Stade nautique de Vaires-sur-Marne;48.8623;2.6348;2;29/07/24;01/08/24;2;0;0;0;non
ABBAS Halima;https://olympics.com/fr/paris-2024/athlete/halima-abbas_1562861;Haltérophilie;05/05/95;Égypte;29;Athlète;;Femme;Arena Paris Sud 6;48.829381;2.290865;1;11/08/24;11/08/24;1;0;0;0;non
ABBAS Omar;https://olympics.com/fr/paris-2024/athlete/omar-abbas_1977128;Natation;02/03/99;République arabe syrienne;25;Athlète;;Homme;Paris La Défense Arena;48.8954;2.2294;1;28/07/24;28/07/24;1;0;0;0;non
ABBASOV Vakhid;https://olympics.com/fr/paris-2024/athlete/vakhid-abbasov_1947956;Boxe;06/06/97;Serbie;27;Athlète;174;Homme;Arena Paris Nord;48.9721;2.5149;1;31/07/24;31/07/24;1;0;0;0;non
ABBINGH Lois;https://olympics.com/fr/paris-2024/athlete/lois-abbingh_1970291;Handball;13/08/92;Pays-Bas;32;Athlète;178;Femme;multisite;;;6;25/07/24;06/08/24;6;0;0;0;non
ABDALLA Abubaker Haydar;https://olympics.com/fr/paris-2024/athlete/abubaker-haydar-abdalla_1566687;Athlétisme;28/08/96;Qatar;28;Athlète;181;Homme;Stade de France;48.924475;2.360127;2;07/08/24;08/08/24;2;0;0;0;non
ABDALLA Hossam;https://olympics.com/fr/paris-2024/athlete/hossam-abdalla_1909747;Volleyball;16/02/88;Égypte;36;Athlète;203;Homme;Arena Paris Sud 1;48.832968;2.2840069;3;27/07/24;02/08/24;3;0;0;0;non
ABDALLA SALAH Lojine;https://olympics.com/fr/paris-2024/athlete/lojine-abdalla-salah_1891459;Natation;23/11/04;Égypte;19;Athlète;;Femme;Paris La Défense Arena;48.8954;2.2294;1;28/07/24;28/07/24;1;0;0;0;non
ABDALLA Yaseen;https://olympics.com/fr/paris-2024/athlete/yaseen-abdalla_1897323;Athlétisme;13/08/01;Soudan;23;Athlète;;Homme;Invalides;48.85704803;2.312835932;1;10/08/24;10/08/24;1;0;0;0;non
ABDELAAL Ahmed;https://olympics.com/fr/paris-2024/athlete/ahmed-abdelaal_1972171;Aviron;02/02/94;Égypte;30;Athlète;;Homme;Stade nautique de Vaires-sur-Marne;48.8623;2.6348;3;28/07/24;31/07/24;3;0;0;0;non
ABDELAZIZ ELSAYED Abdelrahman;https://olympics.com/fr/paris-2024/athlete/abdelrahman-abdelaziz-elsayed_1562842;Haltérophilie;19/05/89;Égypte;35;Athlète;;Homme;Arena Paris Sud 6;48.829381;2.290865;1;10/08/24;10/08/24;1;0;0;0;non
ABDEL-AZIZ Youssef;https://olympics.com/fr/paris-2024/athlete/youssef-abdel-aziz_1902694;Tennis de table;17/02/00;Égypte;24;Athlète;;Homme;Arena Paris Sud 4;48.830184;2.289033;1;05/08/24;05/08/24;1;0;0;0;non
ABDELBARY Farida;https://olympics.com/fr/paris-2024/athlete/farida-abdelbary_1888365;Natation artistique;16/08/06;Égypte;18;Athlète;;Femme;Centre Aquatique;48.923723;2.35578;3;05/08/24;07/08/24;3;0;0;0;non
ABDELGAWWAD Abdelrahman;https://olympics.com/fr/paris-2024/athlete/abdelrahman-abdelgawwad_1962267;Boxe;09/10/87;Égypte;36;Athlète;185;Homme;Arena Paris Nord;48.9721;2.5149;1;30/07/24;30/07/24;1;0;0;0;non
